--- DIAGNOSING FOLDER LOCK ON: C:\Users\user\AppData\Local\Programs\Study Tracker ---
Current Time: 2026-05-28 01:51:53
FAIL: Folder is locked. Error: The process cannot access the file because it is being used by another process.

--- ALL RUNNING PROCESSES ---
PID: 43252 | Name: Adobe Crash Processor | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\node_modules\adobe-cr\build\Release\Adobe Crash Processor.exe
PID: 44936 | Name: msedge | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID: 1528 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 15476 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 17252 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 20664 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 21076 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 21372 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 23744 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 23808 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 24344 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 25572 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 26748 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 28700 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 28808 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 30668 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 31064 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 31092 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 32456 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 34848 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 37408 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 38184 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 40072 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
PID: 44080 | Name: msedgewebview2 | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.83\msedgewebview2.exe
